case,baseline,current,change,firefly_best,selected_methods
fire7_graph5_rank0304,26,26,0,28,BalancedZippelSeparated
fire7_graph5_rank0305,23,23,0,21,BalancedZippelSeparated
fire7_graph5_rank0306,28,25,-3,31,BalancedZippelSeparated
fire7_graph5_rank0307,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0308,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0309,27,25,-2,31,BalancedZippelSeparated
fire7_graph5_rank0310,26,24,-2,27,BalancedZippelSeparated
fire7_graph5_rank0311,26,24,-2,27,BalancedZippelSeparated
fire7_graph5_rank0312,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0313,26,26,0,26,BalancedZippelSeparated
fire7_graph5_rank0314,28,28,0,30,BalancedZippelSeparated
fire7_graph5_rank0315,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0316,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0317,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0318,23,22,-1,23,BalancedZippelSeparated
fire7_graph5_rank0319,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0320,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0321,26,24,-2,27,BalancedZippelSeparated
fire7_graph5_rank0322,26,24,-2,27,BalancedZippelSeparated
fire7_graph5_rank0323,26,24,-2,25,BalancedZippelSeparated
fire7_graph5_rank0324,19,19,0,21,BalancedZippelSeparated
fire7_graph5_rank0325,23,22,-1,23,BalancedZippelSeparated
fire7_graph5_rank0326,20,20,0,23,BalancedZippelSeparated
fire7_graph5_rank0327,26,23,-3,27,BalancedZippelSeparated
fire7_graph5_rank0328,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0329,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0330,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0331,19,19,0,20,BalancedZippelSeparated
fire7_graph5_rank0332,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0333,28,28,0,31,BalancedZippelSeparated
fire7_graph5_rank0334,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0335,26,26,0,27,BalancedZippelSeparated
fire7_graph5_rank0336,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0337,26,23,-3,31,BalancedZippelSeparated
fire7_graph5_rank0338,36,36,0,39,BalancedZippelSeparated
fire7_graph5_rank0339,24,24,0,26,BalancedZippelSeparated
fire7_graph5_rank0340,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0341,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0342,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0343,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0344,20,20,0,23,BalancedZippelSeparated
fire7_graph5_rank0345,19,19,0,20,BalancedZippelSeparated
fire7_graph5_rank0346,21,21,0,19,BalancedZippelSeparated
fire7_graph5_rank0347,23,23,0,25,BalancedZippelSeparated
fire7_graph5_rank0348,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0349,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0350,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0351,20,20,0,23,BalancedZippelSeparated
fire7_graph5_rank0352,28,28,0,31,BalancedZippelSeparated
fire7_graph5_rank0353,20,20,0,23,BalancedZippelSeparated
fire7_graph5_rank0354,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0355,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0356,21,21,0,17,BalancedZippelSeparated
fire7_graph5_rank0357,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0358,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0359,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0360,19,19,0,21,BalancedZippelSeparated
fire7_graph5_rank0361,24,23,-1,23,BalancedZippelSeparated
fire7_graph5_rank0362,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0363,22,22,0,21,BalancedZippelSeparated
fire7_graph5_rank0364,24,23,-1,23,BalancedZippelSeparated
fire7_graph5_rank0365,20,20,0,23,BalancedZippelSeparated
fire7_graph5_rank0366,24,24,0,25,BalancedZippelSeparated
fire7_graph5_rank0367,24,24,0,25,BalancedZippelSeparated
fire7_graph5_rank0368,18,18,0,17,BalancedZippelSeparated
fire7_graph5_rank0369,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0370,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0371,24,23,-1,23,BalancedZippelSeparated
fire7_graph5_rank0372,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0373,24,24,0,25,BalancedZippelSeparated
