case,baseline,current,change,firefly_best
fire7_nb0_rank0391,477,476,-1,888
fire7_nb0_rank0392,287,286,-1,435
fire7_nb0_rank0393,361,360,-1,864
fire7_nb0_rank0394,258,257,-1,778
fire7_nb0_rank0395,383,382,-1,1150
fire7_nb0_rank0396,279,278,-1,694
fire7_nb0_rank0397,391,390,-1,1039
fire7_nb0_rank0398,330,329,-1,850
fire7_nb0_rank0399,326,325,-1,833
fire7_nb0_rank0400,237,236,-1,631
fire7_nb0_rank0401,233,232,-1,549
fire7_nb0_rank0402,350,349,-1,668
fire7_nb0_rank0403,229,228,-1,447
fire7_nb0_rank0404,285,284,-1,704
fire7_nb0_rank0405,244,243,-1,447
fire7_nb0_rank0406,320,319,-1,805
fire7_nb0_rank0407,227,226,-1,580
fire7_nb0_rank0408,324,323,-1,657
fire7_nb0_rank0409,247,246,-1,756
fire7_nb0_rank0410,443,442,-1,904
fire7_nb0_rank0411,234,233,-1,557
fire7_nb0_rank0412,298,297,-1,791
fire7_nb0_rank0413,283,282,-1,830
fire7_nb0_rank0414,344,343,-1,827
fire7_nb0_rank0415,238,237,-1,645
fire7_nb0_rank0416,241,240,-1,771
fire7_nb0_rank0417,306,305,-1,837
fire7_nb0_rank0418,242,241,-1,601
fire7_nb0_rank0419,193,192,-1,426
fire7_nb0_rank0420,303,302,-1,770
fire7_nb0_rank0421,288,287,-1,768
fire7_nb0_rank0422,209,208,-1,487
fire7_nb0_rank0423,274,273,-1,628
fire7_nb0_rank0424,232,231,-1,638
fire7_nb0_rank0425,426,425,-1,934
fire7_nb0_rank0426,290,289,-1,667
fire7_nb0_rank0427,234,233,-1,554
fire7_nb0_rank0428,261,260,-1,764
fire7_nb0_rank0429,421,420,-1,939
fire7_nb0_rank0430,367,366,-1,733
fire7_nb0_rank0431,261,260,-1,455
fire7_nb0_rank0432,314,313,-1,469
fire7_nb0_rank0433,287,286,-1,638
fire7_nb0_rank0434,408,407,-1,925
fire7_nb0_rank0435,342,341,-1,895
fire7_nb0_rank0436,244,243,-1,498
fire7_nb0_rank0437,315,314,-1,948
fire7_nb0_rank0438,224,223,-1,676
fire7_nb0_rank0439,336,335,-1,451
fire7_nb0_rank0440,318,317,-1,679
fire7_nb0_rank0441,257,256,-1,701
fire7_nb0_rank0442,244,243,-1,502
fire7_nb0_rank0443,268,267,-1,738
fire7_nb0_rank0444,286,285,-1,675
fire7_nb0_rank0445,381,380,-1,787
fire7_nb0_rank0446,233,232,-1,664
fire7_nb0_rank0447,321,320,-1,719
fire7_nb0_rank0448,289,288,-1,739
fire7_nb0_rank0449,258,257,-1,449
fire7_nb0_rank0450,246,245,-1,602
fire7_nb0_rank0451,230,229,-1,418
fire7_nb0_rank0452,357,356,-1,757
fire7_nb0_rank0453,184,183,-1,401
fire7_nb0_rank0454,314,313,-1,741
fire7_nb0_rank0455,277,276,-1,635
fire7_nb0_rank0456,229,228,-1,412
fire7_nb0_rank0457,228,227,-1,551
fire7_nb0_rank0458,248,247,-1,546
fire7_nb0_rank0459,282,281,-1,726
fire7_nb0_rank0460,280,279,-1,619
fire7_nb0_rank0461,181,180,-1,317
fire7_nb0_rank0462,328,327,-1,649
fire7_nb0_rank0463,226,225,-1,412
fire7_nb0_rank0464,290,289,-1,623
fire7_nb0_rank0465,326,325,-1,783
fire7_nb0_rank0466,268,267,-1,542
fire7_nb0_rank0467,241,240,-1,569
fire7_nb0_rank0468,221,220,-1,493
fire7_nb0_rank0469,372,371,-1,744
fire7_nb0_rank0470,247,246,-1,544
fire7_nb0_rank0471,288,287,-1,745
fire7_nb0_rank0472,377,376,-1,741
fire7_nb0_rank0473,260,259,-1,604
fire7_nb0_rank0474,259,258,-1,583
fire7_nb0_rank0475,294,293,-1,758
fire7_nb0_rank0476,271,270,-1,659
fire7_nb0_rank0477,262,261,-1,556
fire7_nb0_rank0478,238,237,-1,556
fire7_nb0_rank0479,262,261,-1,556
fire7_nb0_rank0480,237,236,-1,551
fire7_nb0_rank0481,234,233,-1,587
fire7_nb0_rank0482,263,262,-1,523
fire7_nb0_rank0483,263,262,-1,523
fire7_nb0_rank0484,306,305,-1,694
fire7_nb0_rank0485,271,270,-1,711
fire7_nb0_rank0486,286,285,-1,736
fire7_nb0_rank0487,219,218,-1,401
fire7_nb0_rank0488,219,218,-1,400
fire7_nb0_rank0489,263,262,-1,534
fire7_nb0_rank0490,315,314,-1,877
fire7_nb0_rank0491,242,241,-1,606
fire7_nb0_rank0492,263,262,-1,534
fire7_nb0_rank0493,258,257,-1,388
fire7_nb0_rank0494,270,269,-1,673
fire7_nb0_rank0495,249,248,-1,591
fire7_nb0_rank0496,215,214,-1,409
fire7_nb0_rank0497,287,286,-1,474
fire7_nb0_rank0498,309,308,-1,836
fire7_nb0_rank0499,225,224,-1,618
fire7_nb0_rank0500,218,217,-1,650
fire7_nb0_rank0501,371,370,-1,708
fire7_nb0_rank0502,304,303,-1,863
fire7_nb0_rank0503,328,327,-1,739
fire7_nb0_rank0504,298,297,-1,896
fire7_nb0_rank0505,250,249,-1,653
fire7_nb0_rank0506,275,274,-1,669
fire7_nb0_rank0507,218,217,-1,446
fire7_nb0_rank0508,224,223,-1,523
fire7_nb0_rank0509,249,248,-1,687
fire7_nb0_rank0510,231,230,-1,396
fire7_nb0_rank0511,286,285,-1,648
fire7_nb0_rank0512,265,264,-1,618
fire7_nb0_rank0513,303,302,-1,657
fire7_nb0_rank0514,274,273,-1,671
fire7_nb0_rank0515,230,229,-1,673
fire7_nb0_rank0516,371,370,-1,752
fire7_nb0_rank0517,277,276,-1,703
fire7_nb0_rank0518,300,299,-1,800
fire7_nb0_rank0519,304,303,-1,633
fire7_nb0_rank0520,232,231,-1,736
fire7_nb0_rank0521,297,296,-1,615
fire7_nb0_rank0522,212,211,-1,499
fire7_nb0_rank0523,216,215,-1,610
fire7_nb0_rank0524,241,240,-1,585
fire7_nb0_rank0525,216,215,-1,466
fire7_nb0_rank0526,263,262,-1,541
fire7_nb0_rank0527,331,330,-1,887
fire7_nb0_rank0528,210,209,-1,491
fire7_nb0_rank0529,261,260,-1,340
fire7_nb0_rank0530,247,246,-1,541
fire7_nb0_rank0531,216,215,-1,449
fire7_nb0_rank0532,258,257,-1,597
fire7_nb0_rank0533,217,216,-1,588
fire7_nb0_rank0534,204,203,-1,397
fire7_nb0_rank0535,299,298,-1,673
fire7_nb0_rank0536,299,298,-1,673
fire7_nb0_rank0537,225,224,-1,539
fire7_nb0_rank0538,214,213,-1,576
fire7_nb0_rank0539,205,204,-1,606
fire7_nb0_rank0540,204,203,-1,397
fire7_nb0_rank0541,189,188,-1,396
fire7_nb0_rank0542,279,278,-1,650
fire7_nb0_rank0543,439,438,-1,660
fire7_nb0_rank0544,237,236,-1,518
fire7_nb0_rank0545,292,291,-1,647
fire7_nb0_rank0546,279,278,-1,762
fire7_nb0_rank0547,305,304,-1,700
fire7_nb0_rank0548,214,213,-1,498
fire7_nb0_rank0549,256,255,-1,604
fire7_nb0_rank0550,217,216,-1,595
fire7_nb0_rank0551,319,318,-1,480
fire7_nb0_rank0552,318,317,-1,620
fire7_nb0_rank0553,317,316,-1,888
fire7_nb0_rank0554,231,230,-1,667
fire7_nb0_rank0555,250,249,-1,341
fire7_nb0_rank0556,189,188,-1,484
fire7_nb0_rank0557,250,249,-1,341
fire7_nb0_rank0558,200,199,-1,490
fire7_nb0_rank0559,200,199,-1,490
fire7_nb0_rank0560,180,179,-1,326
fire7_nb0_rank0561,251,250,-1,612
fire7_nb0_rank0562,265,264,-1,519
fire7_nb0_rank0563,265,264,-1,519
fire7_nb0_rank0564,334,333,-1,862
fire7_nb0_rank0565,439,438,-1,631
fire7_nb0_rank0566,206,205,-1,393
fire7_nb0_rank0567,184,183,-1,337
fire7_nb0_rank0568,225,224,-1,568
fire7_nb0_rank0569,329,328,-1,853
fire7_nb0_rank0570,249,248,-1,585
fire7_nb0_rank0571,253,252,-1,673
fire7_nb0_rank0572,184,183,-1,571
fire7_nb0_rank0573,214,213,-1,651
fire7_nb0_rank0574,210,209,-1,484
fire7_nb0_rank0575,210,209,-1,499
fire7_nb0_rank0576,303,302,-1,836
fire7_nb0_rank0577,205,204,-1,345
fire7_nb0_rank0578,196,195,-1,571
fire7_nb0_rank0579,259,258,-1,521
fire7_nb0_rank0580,378,377,-1,784
fire7_nb0_rank0581,190,189,-1,382
fire7_nb0_rank0582,211,210,-1,478
fire7_nb0_rank0583,327,326,-1,840
fire7_nb0_rank0584,251,250,-1,620
fire7_nb0_rank0585,363,362,-1,725
fire7_nb0_rank0586,254,253,-1,756
fire7_nb0_rank0587,264,263,-1,427
fire7_nb0_rank0588,316,315,-1,695
fire7_nb0_rank0589,328,327,-1,840
fire7_nb0_rank0590,300,299,-1,864
fire7_nb0_rank0591,198,197,-1,590
fire7_nb0_rank0592,222,221,-1,377
fire7_nb0_rank0593,299,298,-1,570
fire7_nb0_rank0594,188,187,-1,475
fire7_nb0_rank0595,319,318,-1,838
fire7_nb0_rank0596,214,213,-1,585
fire7_nb0_rank0597,241,240,-1,644
fire7_nb0_rank0598,213,212,-1,511
fire7_nb0_rank0599,244,243,-1,487
fire7_nb0_rank0600,173,172,-1,475
fire7_nb0_rank0601,249,248,-1,459
fire7_nb0_rank0602,243,242,-1,459
fire7_nb0_rank0603,204,203,-1,436
fire7_nb0_rank0604,304,303,-1,603
fire7_nb0_rank0605,204,203,-1,436
fire7_nb0_rank0606,188,187,-1,367
fire7_nb0_rank0607,243,242,-1,608
fire7_nb0_rank0608,226,225,-1,372
fire7_nb0_rank0609,353,352,-1,749
fire7_nb0_rank0610,318,317,-1,837
fire7_nb0_rank0611,267,266,-1,571
fire7_nb0_rank0612,208,207,-1,555
fire7_nb0_rank0613,277,276,-1,663
fire7_nb0_rank0614,185,184,-1,447
fire7_nb0_rank0615,314,313,-1,863
fire7_nb0_rank0616,199,198,-1,600
fire7_nb0_rank0617,219,218,-1,407
fire7_nb0_rank0618,251,250,-1,664
fire7_nb0_rank0619,202,201,-1,491
