case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
paper_eq28_y_d,BalancedZippelSeparated,2,0,6448.135,306,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,2,0,49889.168,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippel,2,0,10855.521,509,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,3,0,11007.572,509,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,3,0,47552.580,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,3,0,6316.044,306,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,4,0,10920.101,509,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippelSeparated,4,0,6409.764,306,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,4,0,47551.280,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,5,0,6355.964,306,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,5,0,10938.531,509,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,5,0,47554.099,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,CuytLee,6,0,53170.271,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippel,6,0,11532.244,509,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippelSeparated,6,0,6727.376,306,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,7,0,54388.886,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,7,0,6747.535,306,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,7,0,11564.984,509,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippelSeparated,8,0,6733.815,306,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,8,0,53375.452,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippel,8,0,10219.919,509,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,9,0,10180.848,509,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,9,0,48660.194,1365,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,9,0,6432.054,306,0,1,2,0,248,180,7,0
paper_eq28_d_y,CuytLee,1,0,47044.958,1365,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippelSeparated,1,0,10435.840,516,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,1,0,16612.392,816,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippelSeparated,2,0,10347.959,516,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,2,0,47079.047,1365,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippel,2,0,16496.163,816,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,3,0,16445.233,816,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,3,0,47250.918,1365,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippelSeparated,3,0,10409.440,516,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,4,0,16565.543,816,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippelSeparated,4,0,10460.180,516,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,4,0,46986.748,1365,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippelSeparated,5,0,10266.259,516,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,5,0,16333.062,816,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,5,0,46856.227,1365,0,1,3,14,248,180,0,0
paper_eq28_d_y,CuytLee,6,0,47281.349,1365,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippel,6,0,16574.683,816,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippelSeparated,6,0,10308.019,516,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,7,0,47265.919,1365,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippelSeparated,7,0,10409.319,516,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,7,0,16356.672,816,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippelSeparated,8,0,10213.178,516,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,8,0,46725.687,1365,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippel,8,0,16575.263,816,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,9,0,16623.283,816,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,9,0,50741.032,1365,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippelSeparated,9,0,10842.421,516,0,1,2,0,248,180,30,0
